date,ice_cream,milk,wages
1980-01-01,1.755,93.2,6.57
1980-02-01,1.775,93.9,6.63
1980-03-01,1.718,93.5,6.69
1980-04-01,1.769,93.9,6.72
1980-05-01,1.822,93.9,6.76
1980-06-01,1.832,94.0,6.82
1980-07-01,1.831,94.2,6.86
1980-08-01,1.873,96.5,6.91
1980-09-01,1.825,97.9,6.95
1980-10-01,1.879,100.0,7.02
1980-11-01,1.878,101.1,7.09
1980-12-01,1.92,103.0,7.13
1981-01-01,1.938,102.4,7.18
1981-02-01,2.019,102.9,7.23
1981-03-01,1.992,102.9,7.29
1981-04-01,2.024,101.7,7.33
1981-05-01,2.008,100.2,7.37
1981-06-01,2.006,100.6,7.41
1981-07-01,2.024,100.8,7.45
1981-08-01,2.014,100.9,7.52
1981-09-01,2.042,102.2,7.56
1981-10-01,2.032,105.2,7.59
1981-11-01,2.028,102.5,7.63
1981-12-01,2.064,101.8,7.64
1982-01-01,2.128,101.2,7.72
1982-02-01,2.075,101.3,7.72
1982-03-01,2.061,99.9,7.75
1982-04-01,2.089,99.2,7.77
1982-05-01,2.043,98.5,7.84
1982-06-01,2.06,98.5,7.85
1982-07-01,2.092,98.7,7.9
1982-08-01,2.095,98.7,7.94
1982-09-01,2.105,100.0,7.94
1982-10-01,2.136,101.2,7.96
1982-11-01,2.187,101.4,7.98
1982-12-01,2.163,101.3,8.01
1983-01-01,2.179,100.8,8.06
1983-02-01,2.139,100.9,8.09
1983-03-01,2.091,100.0,8.1
1983-04-01,2.107,99.3,8.13
1983-05-01,2.14,99.0,8.17
1983-06-01,2.141,98.4,8.19
1983-07-01,2.122,98.4,8.22
1983-08-01,2.135,99.8,8.2
1983-09-01,2.193,101.1,8.27
1983-10-01,2.249,100.9,8.31
1983-11-01,2.214,100.5,8.31
1983-12-01,2.184,100.0,8.33
1984-01-01,2.189,99.2,8.38
1984-02-01,2.191,98.0,8.38
1984-03-01,2.171,97.0,8.41
1984-04-01,2.21,96.5,8.45
1984-05-01,2.203,96.2,8.45
1984-06-01,2.193,96.2,8.48
1984-07-01,2.212,96.7,8.51
1984-08-01,2.232,98.1,8.51
1984-09-01,2.301,100.0,8.55
1984-10-01,2.259,101.8,8.55
1984-11-01,2.223,102.3,8.57
1984-12-01,2.231,102.2,8.61
1985-01-01,2.284,101.0,8.61
1985-02-01,2.291,99.9,8.64
1985-03-01,2.29,98.7,8.66
1985-04-01,2.291,96.2,8.69
1985-05-01,2.312,94.0,8.7
1985-06-01,2.276,92.1,8.74
1985-07-01,2.293,90.9,8.74
1985-08-01,2.273,90.6,8.76
1985-09-01,2.345,90.9,8.8
1985-10-01,2.347,90.8,8.79
1985-11-01,2.29,91.2,8.81
1985-12-01,2.294,90.5,8.87
1986-01-01,2.317,90.4,8.85
1986-02-01,2.346,90.4,8.88
1986-03-01,2.331,89.1,8.89
1986-04-01,2.382,87.9,8.88
1986-05-01,2.368,88.2,8.9
1986-06-01,2.325,88.8,8.92
1986-07-01,2.369,89.2,8.91
1986-08-01,2.319,91.1,8.94
1986-09-01,2.36,92.1,8.94
1986-10-01,2.377,94.8,8.96
1986-11-01,2.397,96.2,9.01
1986-12-01,2.405,96.6,9.01
1987-01-01,2.405,96.6,9.02
1987-02-01,2.468,95.1,9.05
1987-03-01,2.447,92.8,9.07
1987-04-01,2.438,91.3,9.08
1987-05-01,2.481,89.8,9.11
1987-06-01,2.428,88.4,9.11
1987-07-01,2.467,90.2,9.12
1987-08-01,2.482,91.5,9.18
1987-09-01,2.47,93.2,9.19
1987-10-01,2.492,93.9,9.22
1987-11-01,2.449,93.6,9.27
1987-12-01,2.438,92.1,9.28
1988-01-01,2.495,91.1,9.29
1988-02-01,2.475,89.8,9.29
1988-03-01,2.406,87.3,9.31
1988-04-01,2.43,85.9,9.36
1988-05-01,2.457,85.8,9.41
1988-06-01,2.432,84.2,9.41
1988-07-01,2.443,85.2,9.45
1988-08-01,2.442,88.3,9.46
1988-09-01,2.446,91.3,9.51
1988-10-01,2.489,94.4,9.56
