observation_date,WPU01610102
1973-08-01,48.100
1973-09-01,57.300
1973-10-01,60.700
1973-11-01,63.600
1973-12-01,
1974-01-01,65.900
1974-02-01,66.300
1974-03-01,66.200
1974-04-01,66.100
1974-05-01,64.800
1974-06-01,60.200
1974-07-01,57.400
1974-08-01,57.700
1974-09-01,57.900
1974-10-01,60.300
1974-11-01,63.400
1974-12-01,63.100
1975-01-01,62.600
1975-02-01,62.600
1975-03-01,61.500
1975-04-01,60.400
1975-05-01,60.000
1975-06-01,59.500
1975-07-01,60.700
1975-08-01,63.200
1975-09-01,66.600
1975-10-01,70.700
1975-11-01,74.500
1975-12-01,75.900
1976-01-01,75.900
1976-02-01,75.200
1976-03-01,72.300
1976-04-01,70.400
1976-05-01,69.400
1976-06-01,67.800
1976-07-01,68.700
1976-08-01,71.400
1976-09-01,73.100
1976-10-01,74.500
1976-11-01,73.800
1976-12-01,73.100
1977-01-01,72.000
1977-02-01,71.300
1977-03-01,69.900
1977-04-01,70.500
1977-05-01,70.600
1977-06-01,71.000
1977-07-01,72.400
1977-08-01,73.400
1977-09-01,74.100
1977-10-01,75.500
1977-11-01,75.400
1977-12-01,75.300
1978-01-01,74.600
1978-02-01,74.900
1978-03-01,75.300
1978-04-01,75.600
1978-05-01,
1978-06-01,75.300
1978-07-01,77.200
1978-08-01,78.500
1978-09-01,80.800
1978-10-01,82.700
1978-11-01,83.900
1978-12-01,85.900
1979-01-01,85.900
1979-02-01,87.200
1979-03-01,86.700
1979-04-01,85.900
1979-05-01,85.800
1979-06-01,86.500
1979-07-01,87.700
1979-08-01,88.600
1979-09-01,91.800
1979-10-01,92.800
1979-11-01,93.600
1979-12-01,94.100
1980-01-01,93.200
1980-02-01,93.900
1980-03-01,93.500
1980-04-01,93.900
1980-05-01,
1980-06-01,94.000
1980-07-01,94.200
1980-08-01,96.500
1980-09-01,97.900
1980-10-01,100.000
1980-11-01,101.100
1980-12-01,103.000
1981-01-01,102.400
1981-02-01,102.900
1981-03-01,
1981-04-01,101.700
1981-05-01,100.200
1981-06-01,100.600
1981-07-01,100.800
1981-08-01,100.900
